Marca,Modelo,Año,Versión,Color,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Combustible,Modelo_normalizado
Peugeot,207,2009,1.6 Xt,Rojo,5,Manual,1.6,Compacto,143.000 km,8300,Nafta,207
Peugeot,307,2009,2.0 Xs Premium 143cv Mp3 Lim Vel,Negro,5,Manual,2.0,Compacto,137.700 km,11500000,Nafta,307
Peugeot,208,2017,1.6 Allure,,5,Manual,1.6,Compacto,51.000 km,15900,Nafta,208
Peugeot,208,2021,1.6 Allure Tiptronic,,5,Automática,1.6,Compacto,38.000 km,17300,Nafta,208
Peugeot,208,2022,1.6 Feline Tiptronic,Azul,5,Automática,1.6,Compacto,40.000 km,22800000,Nafta,208
Peugeot,508,2018,2.0 Allure Plus Hdi Tiptronic,Verde,5,Automática,2.0,Monovolumen,98.000 km,28000,Diésel,508
Peugeot,505,1993,2.0 Sri,Azul,4,Manual,2.0,Sedán,111.111 km,9300000,Nafta,505
Peugeot,208,2014,1.6 Feline Pack Cuir,Gris,5,Manual,1.6,Compacto,70.000 km,11500,Nafta,208
Peugeot,208,2024,1.6 Feline Tiptronic,,5,Automática,1.6,Compacto,9.600 km,24800000,Nafta,208
Peugeot,208,2024,1.6 Feline Tiptronic,,5,Automática,1.6,Compacto,20.000 km,28000000,Nafta,208
Peugeot,308,2014,1.6 Allure Nav 115cv,Gris,5,Manual,1.6,Compacto,123.450 km,10800,Nafta,308
Peugeot,307,2011,1.6 Xs 110cv Mp3,,5,Manual,1.6,Compacto,145.000 km,8300,Nafta,307
Peugeot,208,2023,1.6 Feline Tiptronic,Negro,5,Automática,1.6,Compacto,26.000 km,21000,Nafta,208
Peugeot,208,2018,1.6 Feline,,5,Manual,1.6,Compacto,90.000 km,15500,Nafta,208
Peugeot,308,2017,1.6 Active,Gris,5,Manual,2.0,Compacto,62.145 km,13500,Nafta,308
Peugeot,206,2008,2.0 Hdi Xs Premium Nav,Gris,3,Manual,2.0,Compacto,145.000 km,8500,Diésel,206
Peugeot,207,2011,1.6 Xt,Plateado,5,Manual,1.6,Compacto,90.000 km,8500,Nafta/GNC,207
Peugeot,308,2012,1.6 Allure Nav 115cv,,5,Manual,1.6,Compacto,119.000 km,13500,Nafta,308
Peugeot,208,2024,1.6 Active Pack Tiptronic,Gris,5,Automática,1.6,Compacto,650 km,24500000,Nafta,208
Peugeot,Partner,2012,1.6 Hdi Furgon Confort,,5,Manual,1.6,Light Truck,141.000 km,10000,Diésel,Partner
Peugeot,308,2017,1.6 Feline Thp 163cv,Gris,5,Manual,1.6,Sedán,53.000 km,18300000,Nafta,308
Peugeot,Partner,2020,Confort 1.6,Plateado,5,Manual,1.6,Monovolumen,95.000 km,17500000,Nafta/GNC,Partner
Peugeot,208,2018,Allure Touchscreem Nav Automático,Negro,5,Automática,1.6,Compacto,58.000 km,16000000,Nafta,208
Peugeot,2008,2020,1.6 Thp Sport Tip,,5,Semiautomática,1.6,SUV,95.000 km,18000000,Nafta,2008
Peugeot,207,2013,1.4 Active 75cv,,3,Manual,1.4,Compacto,132.000 km,10341900,Nafta,207
Peugeot,508,2013,1.6 Feline Tiptronic Thp 163cv,Negro,4,Automática,1.6,Sedán,127.000 km,12500,Nafta,508
Peugeot,207,2009,Compact Xt 1.6 - Tiptronic,Gris,4,Manual,1.6,Sedán,184.400 km,7850000,Nafta,207
Peugeot,Expert,2022,1.6 Hdi Premium,Plateado,3,Manual,1.6,Light Truck,70.000 km,37900000,Diésel,Expert
Peugeot,208,2023,1.2 New Like,,5,Manual,1.2,Compacto,51.000 km,16400,Nafta,208
Peugeot,Partner,2015,1.6 Hdi Furgon Confort,,5,Manual,1.6,Light Truck,170.000 km,13500000,Diésel,Partner
Peugeot,208,2018,1.6 Feline Tiptronic,Gris,5,Automática,1.6,Compacto,79.000 km,17600000,Nafta,208
Peugeot,207,2012,1.6 Gti 156cv,Gris,2,Manual,1.6,Compacto,99.000 km,11500,Nafta,207
Peugeot,308,2013,1.6 Allure Nav 115cv,Gris,5,Manual,1.6,Compacto,107.900 km,12500000,Nafta,308
Peugeot,207,2009,1.4 Xr,Gris,4,Manual,1.4,Compacto,226.000 km,5800,Nafta,207
Peugeot,206,2008,1.9 Xt Premium,Negro,5,Manual,1.9,Compacto,164.000 km,6900000,Diésel,206
Peugeot,207,2011,1.4 Xr,Azul,4,Manual,1.4,Compacto,170.000 km,9500000,Nafta,207
Peugeot,207,2011,1.4 Allure Hdi 70cv,Negro,5,Manual,1.4,Compacto,155.000 km,6500,Diésel,207
Peugeot,308,2014,1.6 Sport Thp 163cv,Plateado,5,Automática,1.6,Compacto,123.000 km,11000,Nafta,308
Peugeot,308,2016,1.6 Feline Thp 163cv,Plateado,5,Manual,1.6,Compacto,88.000 km,13600,Nafta,308
Peugeot,208,2022,1.6 Allure,Azul,5,Manual,1.6,Compacto,42.000 km,18000,Nafta,208
Peugeot,2008,2019,1.6 Crossway,,5,Manual,1.6,SUV,67.900 km,17950000,Nafta,2008
Peugeot,Partner,2023,1.6 Hdi Furgon Confort 92,Gris,5,Manual,1.6,Light Truck,3.500 km,25500000,Diésel,Partner
Peugeot,207,2010,1.6 Xt,Negro,5,Manual,1.6,Compacto,110.000 km,9000,Nafta,207
Peugeot,408,2017,1.6 Allure Plus Thp 165cv,,4,Manual,1.6,Sedán,150.000 km,14990000,Nafta,408
Peugeot,208,2023,1.6l Feline Tiptronic,Azul,5,Automática,1.6,Compacto,23.000 km,24500000,Nafta,208
Peugeot,207,2011,"Compact Modelo 2011 ,titular Al Día",Gris,5,Manual,1.6,Compacto,130.000 km,8200000,Diésel,207
Peugeot,208,2024,1.6 Allure Pack,Gris,5,Manual,1.6,Compacto,700 km,25300000,Nafta,208
Peugeot,307,2009,2.0 Hdi Xs 110cv,Negro,5,Manual,2.0,Compacto,150.000 km,7300,Diésel,307
Peugeot,208,2024,1.6 Feline Tiptronic 2024,,5,Automática,1.6,Compacto,13.700 km,21500,Nafta,208
Peugeot,308,2013,2.0 Feline 143cv,Verde,5,Manual,2.0,Compacto,90.000 km,12500,Nafta,308
Peugeot,208,2016,1.6 Feline Pack Cuir,Plateado,5,Manual,1.6,Compacto,86.000 km,13200,Nafta,208
Peugeot,208,2017,1.6 Gt Thp,Negro,5,Manual,1.6,Compacto,43.935 km,17000,Nafta,208
Peugeot,Partner,2011,1.6 Hdi Furgon Confort,Gris,5,Manual,1.6,Light Truck,192.000 km,8800,Diésel,Partner
Peugeot,408,2013,2.0 Allure Nav 143cv,,4,Manual,2.0,Sedán,163.000 km,13500000,Nafta,408
Peugeot,Partner,2007,1.9 Furgon Presence,Gris,5,Manual,1.9,Light Truck,244.000 km,5000000,Diésel,Partner
Peugeot,208,2020,1.6 Feline,,5,Manual,1.6,Compacto,63.000 km,17500,Nafta,208
Peugeot,308,2012,1.6 Allure Nav 115cv,,5,Manual,1.6,Compacto,167.000 km,10500,Nafta,308
Peugeot,Partner,2011,1.4 Furgon Confort,,5,Manual,1.4,Light Truck,152.000 km,11700000,Nafta,Partner
Peugeot,208,2017,1.6 Gt Thp,,5,Manual,1.6,Compacto,77.000 km,15500,Nafta,208
Peugeot,207,2012,1.4 Allure 75cv,,3,Manual,1.4,Compacto,119.500 km,8690000,Nafta,207
Peugeot,206,2007,1.4 Rwc,Gris,3,Manual,1.4,Compacto,170.000 km,6400,Nafta,206
Peugeot,207,2010,1.4 Xs,Gris,5,Manual,1.4,Compacto,136.000 km,7500,Nafta,207
Peugeot,308,2020,1.6 Allure Thp Tiptronic,,5,Automática,1.6,Monovolumen,92.000 km,26900,Nafta,308
Peugeot,308,2015,Feline 1.6 Hdi 2016,Negro,5,Manual,1.6,Compacto,197.000 km,14000,Diésel,308
Peugeot,2008,2016,1.6 Feline,,5,Manual,1.6,SUV,82.500 km,15450000,Nafta,2008
Peugeot,207,2014,2014 1.4 Sedan Allure 75cv,Azul,4,Manual,1.4,Sedán,113.000 km,8500,Nafta,207
Peugeot,208,2024,2024 1.6 Feline,,5,Manual,1.6,Compacto,8.600 km,24800,Nafta,208
Peugeot,206,2005,1.6 Xs Premium,Celeste,3,Manual,1.6,Compacto,170.000 km,4500,Nafta,206
Peugeot,208,2023,1.6 Road Trip Tiptronic,,5,Manual,1.6,Compacto,77.049 km,26900000,Nafta,208
Peugeot,308,2020,1.6 Feline Hdi 115cv,,5,Manual,1.6,Compacto,48.000 km,24000000,Diésel,308
Peugeot,308,2016,1.6 Feline Thp 163cv Tiptronic,Negro,5,Automática,1.6,Compacto,135.000 km,10900,Nafta,308
Peugeot,Partner,2010,1.6 Hdi Furgon Confort,,5,Manual,1.6,Light Truck,125.000 km,10000000,Diésel,Partner
Peugeot,308,2021,1.6 Feline Hdi 115cv,,5,Manual,1.6,Compacto,72.000 km,22500000,Diésel,308
Peugeot,Expert,2019,1.6 Hdi Premium 6as,Plateado,3,Manual,1.6,Light Truck,170.000 km,32000000,Diésel,Expert
Peugeot,Partner,2019,1.6 Hdi Confort,,5,Manual,1.6,Compacto,124.600 km,16000000,Diésel,Partner
Peugeot,308,2013,1.6 Feline Hdi 115cv,Gris,5,Manual,1.6,Compacto,230.910 km,11500,Diésel,308
Peugeot,407,2010,2.0 Hdi Sv Sport,Gris,4,Manual,2.0,Sedán,116.000 km,11000,Diésel,407
Peugeot,2008,2021,1.6 Feline Am20,Gris,5,Manual,1.6,SUV,75.000 km,23000000,Nafta,2008
Peugeot,306,1998,1.8 Xr Break Roland Garros,Verde,5,Manual,1.8,Rural,135.000 km,8900,Nafta,306
Peugeot,208,2020,1.6 Gt Thp,,5,Manual,1.6,Compacto,65.371 km,24000000,Nafta,208
Peugeot,308,2021,1.6 Allure Tiptronic L21,Gris,5,Automática,TURBOALIMENTADO,Monovolumen,112.145 km,33000000,Nafta,308
Peugeot,2008,2016,1.6 Feline,Negro,5,Manual,1.6,SUV,115.000 km,15800000,Nafta,2008
Peugeot,406,1999,3.0 Sv/st Confort,Gris,4,Manual,3.0,Sedán,175.000 km,6000,Nafta,406
Peugeot,208,2017,1.6 Allure,Plateado,5,Manual,1.6,Compacto,110.000 km,15200000,Nafta,208
Peugeot,208,2023,1.6 Active Pack,Azul,5,Manual,1.6,Compacto,21.000 km,22000000,Nafta,208
Peugeot,207,2011,1.4 Xs,Gris,5,Manual,1.4,Compacto,120.000 km,7500000,Nafta,207
Peugeot,408,2016,Hdi Allure Nav M/t 1.6 Diesel 2016,Gris,4,Manual,1.6,Sedán,156.705 km,16500000,Diésel,408
Peugeot,207,2012,Xs Allure M/t 1.4 Nafta/gnc 2012,Gris,5,Manual,1.4,Compacto,134.589 km,10800000,Nafta/GNC,207
Peugeot,2008,2017,1.6 Thp Sport,,5,Manual,1.6,SUV,80.000 km,18800000,Nafta,2008
Peugeot,308,2012,1.6 Gti Thp 200cv,Gris,5,Manual,1.6,Compacto,85.000 km,14500000,Nafta,308
Peugeot,307,2010,1.6 Xs 110cv Mp3,,5,Manual,1.6,Compacto,144.900 km,9000000,Nafta,307
Peugeot,307,2004,2.0 Xt Hdi Premium,Gris,5,Manual,2.0,Compacto,358.000 km,7000000,Diésel,307
Peugeot,308,2017,1.6 Allure Thp Tiptronic,Dorado,5,Automática,1.6,Monovolumen,94.220 km,20000000,Nafta,308
Peugeot,208,2016,1.5 Allure Touchscreen,Azul,5,Manual,1.5,Compacto,105.000 km,11500,Nafta,208
Peugeot,308,2015,1.6 Sport Thp 163cv,Gris,5,Automática,1.6,Compacto,68.000 km,17500000,Nafta,308
